Date,Open,High,Low,Close,Adj Close,Volume
1992-05-19,1.750000,1.750000,1.656250,1.750000,1.118690,18095200
1992-05-20,1.765625,1.859375,1.750000,1.843750,1.178621,3993600
1992-05-21,1.843750,1.859375,1.796875,1.843750,1.178621,1164800
1992-05-22,1.843750,1.906250,1.843750,1.906250,1.218574,729600
1992-05-26,1.906250,1.906250,1.859375,1.875000,1.198597,668800
1992-05-27,1.875000,1.921875,1.843750,1.875000,1.198597,673600
1992-05-28,1.875000,1.906250,1.875000,1.906250,1.218574,544800
1992-05-29,1.890625,1.984375,1.890625,1.953125,1.248538,292800
1992-06-01,1.968750,2.062500,1.953125,2.000000,1.278504,1489600
1992-06-02,2.000000,2.031250,1.984375,2.015625,1.288492,1423200
1992-06-03,2.000000,2.015625,1.953125,1.968750,1.258527,1146400
1992-06-04,1.968750,1.984375,1.953125,1.968750,1.258527,408800
1992-06-05,1.984375,1.984375,1.968750,1.984375,1.268515,491200
1992-06-08,1.984375,1.984375,1.937500,1.968750,1.258527,701600
1992-06-09,1.984375,1.984375,1.875000,1.921875,1.228562,880000
1992-06-10,1.906250,1.921875,1.890625,1.921875,1.228562,448800
1992-06-11,1.937500,1.968750,1.921875,1.937500,1.238550,208800
1992-06-12,1.968750,2.000000,1.953125,1.968750,1.258527,518400
1992-06-15,1.937500,2.015625,1.937500,1.984375,1.268515,380000
1992-06-16,2.000000,2.000000,1.906250,1.921875,1.228562,216000
1992-06-17,1.953125,1.968750,1.921875,1.937500,1.238550,816800
1992-06-18,1.953125,1.953125,1.921875,1.921875,1.228562,220800
1992-06-19,1.906250,1.921875,1.906250,1.921875,1.228562,192800
1992-06-22,1.937500,1.953125,1.890625,1.937500,1.238550,954400
1992-06-23,1.968750,2.000000,1.953125,1.968750,1.258527,1403200
1992-06-24,1.968750,2.000000,1.937500,2.000000,1.278504,1368800
1992-06-25,2.000000,2.031250,1.984375,2.000000,1.278504,462400
1992-06-26,1.984375,2.031250,1.984375,2.031250,1.298480,803200
1992-06-29,2.046875,2.156250,2.046875,2.125000,1.358410,295200
